angstrom,1,1.057E-26,100000000,1E-08,1E-11,1E-09,1E-28,100000,1E-19,1E-12,1.09361E-10,1E-16,1E-10,0.0001,6.2137E-14,5.3996E-14,1E-07,0.1,3.24078E-27,3.28084E-10,1E-25,100,3.93701E-09,1E-13,1E-22,6.68459E-22,100000000000000,1E-34,100000000000,1E-31
ano-luz,9.46073793755913E+025,1,9.46073793755913E+033,9.46073793755913E+017,946073793755913,9.46073793755913E+016,0.009460737937559,9.46073793755913E+030,9460737.93755913,94607379375591.3,1.0346357615894E+016,9460737937.55913,9.46073793755913E+015,9.46073793755913E+021,5878618732261.12,5108420056764.43,9.46073793755913E+018,9.46073793755913E+024,0.306601702932829,3.10391674550615E+016,9.46073793755913,9.46073793755913E+027,3.72470198675497E+017,9460737937559.13,9460.73793755913,63241.1542100284,9.46073793755913E+039,9.46073793755913E-09,9.46073793755913E+036,9.46073793755913E-06
attômetro,1E-08,1.057E-34,1,1E-16,1E-19,1E-17,1E-36,0.001,1E-27,1E-20,1.09361E-18,1E-24,1E-18,1E-12,6.2137E-22,5.3996E-22,1E-15,1E-09,3.24078E-35,3.28084E-18,1E-33,1E-06,3.93701E-17,1E-21,1E-30,6.68459E-30,1000000,1E-42,1000,1E-39
centímetro,100000000,1.057E-18,1E+016,1,0.001,0.1,1E-20,10000000000000,1E-11,1E-04,0.0109361,1E-08,0.01,10000,6.2137E-06,5.3996E-06,10,10000000,3.24078E-19,0.0328084,1E-17,10000000000,0.393701,1E-05,1E-14,6.68459E-14,1E+022,1E-26,1E+019,1E-23
decâmetro,100000000000,1.057E-15,1E+019,1000,1,100,1E-17,1E+016,1E-08,0.1,10.9361,1E-05,10,10000000,0.0062137,0.0053996,10000,10000000000,3.24078E-16,32.8084,1E-14,10000000000000,393.701,0.01,1E-11,6.68459E-11,1E+025,1E-23,1E+022,1E-20
decímetro,1000000000,1.057E-17,1E+017,10,0.01,1,1E-19,100000000000000,1E-10,0.001,0.109361,1E-07,0.1,100000,6.2137E-05,5.3996E-05,100,100000000,3.24078E-18,0.328084,1E-16,100000000000,3.93701,0.0001,1E-13,6.68459E-13,1E+023,1E-25,1E+020,1E-22
exametro,1E+028,105.7,1E+036,1E+020,1E+017,1E+019,1,1E+033,1000000000,1E+016,1.09361E+018,1000000000000,1E+018,1E+024,621370000000000,539960000000000,1E+021,1E+027,32.4078,3.28084E+018,1000,1E+030,3.93701E+019,1E+015,1000000,6684590,1E+042,1E-06,1E+039,0.001
femtômetro,1E-05,1.057E-31,1000,1E-13,1E-16,1E-14,1E-33,1,1E-24,1E-17,1.09361E-15,1E-21,1E-15,1E-09,6.2137E-19,5.3996E-19,1E-12,1E-06,3.24078E-32,3.28084E-15,1E-30,0.001,3.93701E-14,1E-18,1E-27,6.68459E-27,1000000000,1E-39,1000000,1E-36
gigametro,1E+019,1.057E-07,1E+027,100000000000,100000000,10000000000,1E-09,1E+024,1,10000000,1093610000,1000,1000000000,1E+015,621370,539960,1000000000000,1E+018,3.24078E-08,3280840000,1E-06,1E+021,39370100000,1000000,0.001,0.00668459,1E+033,1E-15,1E+030,1E-12
hectômetro,1000000000000,1.057E-14,1E+020,10000,10,1000,1E-16,1E+017,1E-07,1,109.361,0.0001,100,100000000,0.062137,0.053996,100000,100000000000,3.24078E-15,328.084,1E-13,100000000000000,3937.01,0.1,1E-10,6.68459E-10,1E+026,1E-22,1E+023,1E-19
jardas,9144027578.38718,9.66523715035524E-17,9.14402757838718E+017,91.4402757838718,0.091440275783872,9.14402757838718,9.14402757838718E-19,914402757838717,9.14402757838718E-10,0.009144027578387,1,9.14402757838718E-07,0.914402757838717,914402.757838718,0.000568182441638,0.000493740913123,914.402757838717,914402757.838718,2.96337816954856E-17,3.00000914402758,9.14402757838718E-16,914402757838.718,36.0001280163861,0.000914402757839,9.14402757838717E-13,6.11240753102111E-12,9.14402757838717E+023,9.14402757838718E-25,9.14402757838718E+020,9.14402757838717E-22
megametro,1E+016,1.057E-10,1E+024,100000000,100000,10000000,1E-12,1E+021,0.001,10000,1093610,1,1000000,1000000000000,621.37,539.96,1000000000,1E+015,3.24078E-11,3280840,1E-09,1E+018,39370100,1000,1E-06,6.68459E-06,1E+030,1E-18,1E+027,1E-15
metro,10000000000,1.057E-16,1E+018,100,0.1,10,1E-18,1E+015,1E-09,0.01,1.09361,1E-06,1,1000000,0.00062137,0.00053996,1000,1000000000,3.24078E-17,3.28084,1E-15,1000000000000,39.3701,0.001,1E-12,6.68459E-12,1E+024,1E-24,1E+021,1E-21
micrômetro,10000,1.057E-22,1000000000000,0.0001,1E-07,1E-05,1E-24,1000000000,1E-15,1E-08,1.09361E-06,1E-12,1E-06,1,6.2137E-10,5.3996E-10,0.001,1000,3.24078E-23,3.28084E-06,1E-21,1000000,3.93701E-05,1E-09,1E-18,6.68459E-18,1E+018,1E-30,1E+015,1E-27
milha,16093470878864.4,1.70107987189597E-13,1.60934708788644E+021,160934.708788644,160.934708788644,16093.4708788644,1.60934708788644E-15,1.60934708788644E+018,1.60934708788644E-06,16.0934708788644,1759.9980687835,0.001609347087886,1609.34708788644,1609347087.88644,1,0.868983053575165,1609347.08788644,1609347087886.44,5.21553985548063E-14,5280.01029982136,1.60934708788644E-12,1.60934708788644E+015,63360.1557847981,1.60934708788645,1.60934708788644E-09,1.07578254502148E-08,1.60934708788644E+027,1.60934708788645E-21,1.60934708788645E+024,1.60934708788644E-18
milha náutica,18519890362249.1,1.95755241128973E-13,1.85198903622491E+021,185198.903622491,185.198903622491,18519.8903622491,1.85198903622491E-15,1.85198903622491E+018,1.85198903622491E-06,18.5198903622491,2025.35372990592,0.001851989036225,1851.98903622491,1851989036.22491,1.15077042743907,1,1851989.0362249,1851989036224.9,6.00188902881695E-14,6076.07970960812,1.85198903622491E-12,1.8519890362249E+015,72912.9935550781,1.85198903622491,1.8519890362249E-09,1.23797873916586E-08,1.8519890362249E+027,1.85198903622491E-21,1.85198903622491E+024,1.8519890362249E-18
milímetro,10000000,1.057E-19,1000000000000000,0.1,0.0001,0.01,1E-21,1000000000000,1E-12,1E-05,0.00109361,1E-09,0.001,1000,6.2137E-07,5.3996E-07,1,1000000,3.24078E-20,0.00328084,1E-18,1000000000,0.0393701,1E-06,1E-15,6.68459E-15,1E+021,1E-27,1E+018,1E-24
nanômetro,10,1.057E-25,1000000000,1E-07,1E-10,1E-08,1E-27,1000000,1E-18,1E-11,1.09361E-09,1E-15,1E-09,0.001,6.2137E-13,5.3996E-13,1E-06,1,3.24078E-26,3.28084E-09,1E-24,1000,3.93701E-08,1E-12,1E-21,6.68459E-21,1000000000000000,1E-33,1000000000000,1E-30
parsec,3.08567690494264E+026,3.26156048852437,3.08567690494264E+034,3.08567690494264E+018,3085676904942637,3.08567690494264E+017,0.030856769049426,3.08567690494264E+031,30856769.0494264,308567690494264,3.37452712001432E+016,30856769049.4264,3.08567690494264E+016,3.08567690494264E+022,19173470584242.1,16661421015928.3,3.08567690494264E+019,3.08567690494264E+025,1,1.0123612216812E+017,30.8567690494264,3.08567690494264E+028,1.21483408315282E+018,30856769049426.4,30856.7690494264,206264.849820105,3.08567690494264E+040,3.08567690494264E-08,3.08567690494264E+037,3.08567690494264E-05
pé,3047999902.464,3.22173589690445E-17,3.047999902464E+017,30.47999902464,0.03047999902464,3.047999902464,3.047999902464E-19,304799990246400,3.047999902464E-10,0.003047999902464,0.333332317333366,3.047999902464E-07,0.3047999902464,304799.9902464,0.000189393569939,0.000164579802733,304.7999902464,304799990.2464,9.87789712390729E-18,1,3.047999902464E-16,304799990246.4,12.0000060959998,0.000304799990246,3.047999902464E-13,2.03746296680118E-12,3.047999902464E+023,3.047999902464E-25,3.047999902464E+020,3.047999902464E-22
petametro,1E+025,0.1057,1E+033,1E+017,100000000000000,1E+016,0.001,1E+030,1000000,10000000000000,1.09361E+015,1000000000,1000000000000000,1E+021,621370000000,539960000000,1E+018,1E+024,0.0324078,3.28084E+015,1,1E+027,3.93701E+016,1000000000000,1000,6684.59,1E+039,1E-09,1E+036,1E-06
picômetro,0.01,1.057E-28,1000000,1E-10,1E-13,1E-11,1E-30,1000,1E-21,1E-14,1.09361E-12,1E-18,1E-12,1E-06,6.2137E-16,5.3996E-16,1E-09,0.001,3.24078E-29,3.28084E-12,1E-27,1,3.93701E-11,1E-15,1E-24,6.68459E-24,1000000000000,1E-36,1000000000,1E-33
polegada,253999862.840074,2.68477855021958E-18,2.53999862840074E+016,2.53999862840074,0.002539998628401,0.253999862840074,2.53999862840074E-20,25399986284007.4,2.53999862840074E-11,0.00025399986284,0.027777679000053,2.53999862840074E-08,0.025399986284007,25399.9862840074,1.57827894772937E-05,1.37149765939126E-05,25.3999862840074,25399986.2840074,8.23157675494855E-19,0.083333291000023,2.53999862840074E-17,25399986284.0074,1,2.53999862840074E-05,2.53999862840074E-14,1.69788494314213E-13,2.53999862840074E+022,2.53999862840074E-26,2.53999862840074E+019,2.53999862840074E-23
quilômetro,10000000000000,1.057E-13,1E+021,100000,100,10000,1E-15,1E+018,1E-06,10,1093.61,0.001,1000,1000000000,0.62137,0.53996,1000000,1000000000000,3.24078E-14,3280.84,1E-12,1E+015,39370.1,1,1E-09,6.68459E-09,1E+027,1E-21,1E+024,1E-18
terametro,1E+022,0.0001057,1E+030,100000000000000,100000000000,10000000000000,1E-06,1E+027,1000,10000000000,1093610000000,1000000,1000000000000,1E+018,621370000,539960000,1E+015,1E+021,3.24078E-05,3280840000000,0.001,1E+024,39370100000000,1000000000,1,6.68459,1E+036,1E-12,1E+033,1E-09
unidade astronômica,1.49597806297768E+021,1.58124881256741E-05,1.49597806297768E+029,14959780629776.8,14959780629.7768,1495978062977.68,1.49597806297768E-07,1.49597806297768E+026,149.597806297768,1495978062.97768,163601656945.303,149597.806297768,149597806297.768,1.49597806297768E+017,92955588.8992444,80776831.4885431,149597806297768,1.49597806297768E+020,4.84813578693682E-06,490806466813.971,0.000149597806298,1.49597806297768E+023,5889680593723.77,149597806.297768,0.149597806297768,1,1.49597806297768E+035,1.49597806297768E-13,1.49597806297768E+032,1.49597806297768E-10
yoctômetro,1E-14,1.057E-40,1E-06,1E-22,1E-25,1E-23,1E-42,1E-09,1E-33,1E-26,1.09361E-24,1E-30,1E-24,1E-18,6.2137E-28,5.3996E-28,1E-21,1E-15,3.24078E-41,3.28084E-24,1E-39,1E-12,3.93701E-23,1E-27,1E-36,6.68459E-36,1,1E-48,0.001,1E-45
yottametro,1E+034,105700000,1E+042,1E+026,1E+023,1E+025,1000000,1E+039,1E+015,1E+022,1.09361E+024,1E+018,1E+024,1E+030,6.2137E+020,5.3996E+020,1E+027,1E+033,32407800,3.28084E+024,1000000000,1E+036,3.93701E+025,1E+021,1000000000000,6684590000000,1E+048,1,1E+045,1000
zeptômetro,1E-11,1.057E-37,0.001,1E-19,1E-22,1E-20,1E-39,1E-06,1E-30,1E-23,1.09361E-21,1E-27,1E-21,1E-15,6.2137E-25,5.3996E-25,1E-18,1E-12,3.24078E-38,3.28084E-21,1E-36,1E-09,3.93701E-20,1E-24,1E-33,6.68459E-33,1000,1E-45,1,1E-42
zettametro,1E+031,105700,1E+039,1E+023,1E+020,1E+022,1000,1E+036,1000000000000,1E+019,1.09361E+021,1E+015,1E+021,1E+027,6.2137E+017,5.3996E+017,1E+024,1E+030,32407.8,3.28084E+021,1000000,1E+033,3.93701E+022,1E+018,1000000000,6684590000,1E+045,0.001,1E+042,1
