cm/h,1.00E+00,1.67E-02,2.78E-07,2.78E-04,3.28E-02,5.47E-04,9.11E-09,9.11E-15,9.11E-06,9.11E-12,1.09E-07,1.09E-13,1.09E-04,1.09E-10,1.00E-05,1.67E-07,2.78E-12,2.78E-18,2.78E-09,2.78E-15,3.65E-05,1.01E-08,1.00E-02,1.67E-04,2.78E-09,2.78E-15,2.78E-06,2.78E-12,6.21E-06,1.04E-07,1.73E-12,1.73E-18,1.73E-09,1.73E-15,2.78E-06,2.78E-12,2.78E-03,2.78E-09,2.78E+00,2.78E-06,2.78E+03,2.78E-03,2.78E-03,2.78E-09,2.78E+00,2.78E-06,1.82E-04,3.04E-09,3.04E-15,3.04E-06,3.04E-12
cm/min,6.00E+01,1.00E+00,1.67E-05,1.67E-02,1.97E+00,3.28E-02,5.47E-07,5.47E-13,5.47E-04,5.47E-10,6.56E-06,6.56E-12,6.56E-03,6.56E-09,6.00E-04,1.00E-05,1.67E-10,1.67E-16,1.67E-07,1.67E-13,2.19E-03,6.08E-07,6.00E-01,1.00E-02,1.67E-07,1.67E-13,1.67E-04,1.67E-10,3.73E-04,6.21E-06,1.04E-10,1.04E-16,1.04E-07,1.04E-13,1.67E-04,1.67E-10,1.67E-01,1.67E-07,1.67E+02,1.67E-04,1.67E+05,1.67E-01,1.67E-01,1.67E-07,1.67E+02,1.67E-04,1.09E-02,1.82E-07,1.82E-13,1.82E-04,1.82E-10
cm/ms,3.60E+06,6.00E+04,1.00E+00,1.00E+03,1.18E+05,1.97E+03,3.28E-02,3.28E-08,3.28E+01,3.28E-05,3.94E-01,3.94E-07,3.94E+02,3.94E-04,3.60E+01,6.00E-01,1.00E-05,1.00E-11,1.00E-02,1.00E-08,1.31E+02,3.65E-02,3.60E+04,6.00E+02,1.00E-02,1.00E-08,1.00E+01,1.00E-05,2.24E+01,3.73E-01,6.21E-06,6.21E-12,6.21E-03,6.21E-09,1.00E+01,1.00E-05,1.00E+04,1.00E-02,1.00E+07,1.00E+01,1.00E+10,1.00E+04,1.00E+04,1.00E-02,1.00E+07,1.00E+01,6.56E+02,1.09E-02,1.09E-08,1.09E+01,1.09E-05
cm/s,3.60E+03,6.00E+01,1.00E-03,1.00E+00,1.18E+02,1.97E+00,3.28E-05,3.28E-11,3.28E-02,3.28E-08,3.94E-04,3.94E-10,3.94E-01,3.94E-07,3.60E-02,6.00E-04,1.00E-08,1.00E-14,1.00E-05,1.00E-11,1.31E-01,3.65E-05,3.60E+01,6.00E-01,1.00E-05,1.00E-11,1.00E-02,1.00E-08,2.24E-02,3.73E-04,6.21E-09,6.21E-15,6.21E-06,6.21E-12,1.00E-02,1.00E-08,1.00E+01,1.00E-05,1.00E+04,1.00E-02,1.00E+07,1.00E+01,1.00E+01,1.00E-05,1.00E+04,1.00E-02,6.56E-01,1.09E-05,1.09E-11,1.09E-02,1.09E-08
ft/h,3.05E+01,5.08E-01,8.47E-06,8.47E-03,1.00E+00,1.67E-02,2.78E-07,2.78E-13,2.78E-04,2.78E-10,3.33E-06,3.33E-12,3.33E-03,3.33E-09,3.05E-04,5.08E-06,8.47E-11,8.47E-17,8.47E-08,8.47E-14,1.11E-03,3.09E-07,3.05E-01,5.08E-03,8.47E-08,8.47E-14,8.47E-05,8.47E-11,1.89E-04,3.16E-06,5.26E-11,5.26E-17,5.26E-08,5.26E-14,8.47E-05,8.47E-11,8.47E-02,8.47E-08,8.47E+01,8.47E-05,8.47E+04,8.47E-02,8.47E-02,8.47E-08,8.47E+01,8.47E-05,5.56E-03,9.26E-08,9.26E-14,9.26E-05,9.26E-11
ft/min,1.83E+03,3.05E+01,5.08E-04,5.08E-01,6.00E+01,1.00E+00,1.67E-05,1.67E-11,1.67E-02,1.67E-08,2.00E-04,2.00E-10,2.00E-01,2.00E-07,1.83E-02,3.05E-04,5.08E-09,5.08E-15,5.08E-06,5.08E-12,6.67E-02,1.85E-05,1.83E+01,3.05E-01,5.08E-06,5.08E-12,5.08E-03,5.08E-09,1.14E-02,1.89E-04,3.16E-09,3.16E-15,3.16E-06,3.16E-12,5.08E-03,5.08E-09,5.08E+00,5.08E-06,5.08E+03,5.08E-03,5.08E+06,5.08E+00,5.08E+00,5.08E-06,5.08E+03,5.08E-03,3.33E-01,5.56E-06,5.56E-12,5.56E-03,5.56E-09
ft/ms,1.10E+08,1.83E+06,3.05E+01,3.05E+04,3.60E+06,6.00E+04,1.00E+00,1.00E-06,1.00E+03,1.00E-03,1.20E+01,1.20E-05,1.20E+04,1.20E-02,1.10E+03,1.83E+01,3.05E-04,3.05E-10,3.05E-01,3.05E-07,4.00E+03,1.11E+00,1.10E+06,1.83E+04,3.05E-01,3.05E-07,3.05E+02,3.05E-04,6.82E+02,1.14E+01,1.89E-04,1.89E-10,1.89E-01,1.89E-07,3.05E+02,3.05E-04,3.05E+05,3.05E-01,3.05E+08,3.05E+02,3.05E+11,3.05E+05,3.05E+05,3.05E-01,3.05E+08,3.05E+02,2.00E+04,3.33E-01,3.33E-07,3.33E+02,3.33E-04
ft/ns,1.10E+14,1.83E+12,3.05E+07,3.05E+10,3.60E+12,6.00E+10,1.00E+06,1.00E+00,1.00E+09,1.00E+03,1.20E+07,1.20E+01,1.20E+10,1.20E+04,1.10E+09,1.83E+07,3.05E+02,3.05E-04,3.05E+05,3.05E-01,4.00E+09,1.11E+06,1.10E+12,1.83E+10,3.05E+05,3.05E-01,3.05E+08,3.05E+02,6.82E+08,1.14E+07,1.89E+02,1.89E-04,1.89E+05,1.89E-01,3.05E+08,3.05E+02,3.05E+11,3.05E+05,3.05E+14,3.05E+08,3.05E+17,3.05E+11,3.05E+11,3.05E+05,3.05E+14,3.05E+08,2.00E+10,3.33E+05,3.33E-01,3.33E+08,3.33E+02
ft/s,1.10E+05,1.83E+03,3.05E-02,3.05E+01,3.60E+03,6.00E+01,1.00E-03,1.00E-09,1.00E+00,1.00E-06,1.20E-02,1.20E-08,1.20E+01,1.20E-05,1.10E+00,1.83E-02,3.05E-07,3.05E-13,3.05E-04,3.05E-10,4.00E+00,1.11E-03,1.10E+03,1.83E+01,3.05E-04,3.05E-10,3.05E-01,3.05E-07,6.82E-01,1.14E-02,1.89E-07,1.89E-13,1.89E-04,1.89E-10,3.05E-01,3.05E-07,3.05E+02,3.05E-04,3.05E+05,3.05E-01,3.05E+08,3.05E+02,3.05E+02,3.05E-04,3.05E+05,3.05E-01,2.00E+01,3.33E-04,3.33E-10,3.33E-01,3.33E-07
ft/us,1.10E+11,1.83E+09,3.05E+04,3.05E+07,3.60E+09,6.00E+07,1.00E+03,1.00E-03,1.00E+06,1.00E+00,1.20E+04,1.20E-02,1.20E+07,1.20E+01,1.10E+06,1.83E+04,3.05E-01,3.05E-07,3.05E+02,3.05E-04,4.00E+06,1.11E+03,1.10E+09,1.83E+07,3.05E+02,3.05E-04,3.05E+05,3.05E-01,6.82E+05,1.14E+04,1.89E-01,1.89E-07,1.89E+02,1.89E-04,3.05E+05,3.05E-01,3.05E+08,3.05E+02,3.05E+11,3.05E+05,3.05E+14,3.05E+08,3.05E+08,3.05E+02,3.05E+11,3.05E+05,2.00E+07,3.33E+02,3.33E-04,3.33E+05,3.33E-01
in/ms,9.14E+06,1.52E+05,2.54E+00,2.54E+03,3.00E+05,5.00E+03,8.33E-02,8.33E-08,8.33E+01,8.33E-05,1.00E+00,1.00E-06,1.00E+03,1.00E-03,9.14E+01,1.52E+00,2.54E-05,2.54E-11,2.54E-02,2.54E-08,3.33E+02,9.26E-02,9.14E+04,1.52E+03,2.54E-02,2.54E-08,2.54E+01,2.54E-05,5.68E+01,9.47E-01,1.58E-05,1.58E-11,1.58E-02,1.58E-08,2.54E+01,2.54E-05,2.54E+04,2.54E-02,2.54E+07,2.54E+01,2.54E+10,2.54E+04,2.54E+04,2.54E-02,2.54E+07,2.54E+01,1.67E+03,2.78E-02,2.78E-08,2.78E+01,2.78E-05
in/ns,9.14E+12,1.52E+11,2.54E+06,2.54E+09,3.00E+11,5.00E+09,8.33E+04,8.33E-02,8.33E+07,8.33E+01,1.00E+06,1.00E+00,1.00E+09,1.00E+03,9.14E+07,1.52E+06,2.54E+01,2.54E-05,2.54E+04,2.54E-02,3.33E+08,9.26E+04,9.14E+10,1.52E+09,2.54E+04,2.54E-02,2.54E+07,2.54E+01,5.68E+07,9.47E+05,1.58E+01,1.58E-05,1.58E+04,1.58E-02,2.54E+07,2.54E+01,2.54E+10,2.54E+04,2.54E+13,2.54E+07,2.54E+16,2.54E+10,2.54E+10,2.54E+04,2.54E+13,2.54E+07,1.67E+09,2.78E+04,2.78E-02,2.78E+07,2.78E+01
in/s,9.14E+03,1.52E+02,2.54E-03,2.54E+00,3.00E+02,5.00E+00,8.33E-05,8.33E-11,8.33E-02,8.33E-08,1.00E-03,1.00E-09,1.00E+00,1.00E-06,9.14E-02,1.52E-03,2.54E-08,2.54E-14,2.54E-05,2.54E-11,3.33E-01,9.26E-05,9.14E+01,1.52E+00,2.54E-05,2.54E-11,2.54E-02,2.54E-08,5.68E-02,9.47E-04,1.58E-08,1.58E-14,1.58E-05,1.58E-11,2.54E-02,2.54E-08,2.54E+01,2.54E-05,2.54E+04,2.54E-02,2.54E+07,2.54E+01,2.54E+01,2.54E-05,2.54E+04,2.54E-02,1.67E+00,2.78E-05,2.78E-11,2.78E-02,2.78E-08
in/us,9.14E+09,1.52E+08,2.54E+03,2.54E+06,3.00E+08,5.00E+06,8.33E+01,8.33E-05,8.33E+04,8.33E-02,1.00E+03,1.00E-03,1.00E+06,1.00E+00,9.14E+04,1.52E+03,2.54E-02,2.54E-08,2.54E+01,2.54E-05,3.33E+05,9.26E+01,9.14E+07,1.52E+06,2.54E+01,2.54E-05,2.54E+04,2.54E-02,5.68E+04,9.47E+02,1.58E-02,1.58E-08,1.58E+01,1.58E-05,2.54E+04,2.54E-02,2.54E+07,2.54E+01,2.54E+10,2.54E+04,2.54E+13,2.54E+07,2.54E+07,2.54E+01,2.54E+10,2.54E+04,1.67E+06,2.78E+01,2.78E-05,2.78E+04,2.78E-02
km/h,1.00E+05,1.67E+03,2.78E-02,2.78E+01,3.28E+03,5.47E+01,9.11E-04,9.11E-10,9.11E-01,9.11E-07,1.09E-02,1.09E-08,1.09E+01,1.09E-05,1.00E+00,1.67E-02,2.78E-07,2.78E-13,2.78E-04,2.78E-10,3.65E+00,1.01E-03,1.00E+03,1.67E+01,2.78E-04,2.78E-10,2.78E-01,2.78E-07,6.21E-01,1.04E-02,1.73E-07,1.73E-13,1.73E-04,1.73E-10,2.78E-01,2.78E-07,2.78E+02,2.78E-04,2.78E+05,2.78E-01,2.78E+08,2.78E+02,2.78E+02,2.78E-04,2.78E+05,2.78E-01,1.82E+01,3.04E-04,3.04E-10,3.04E-01,3.04E-07
km/min,6.00E+06,1.00E+05,1.67E+00,1.67E+03,1.97E+05,3.28E+03,5.47E-02,5.47E-08,5.47E+01,5.47E-05,6.56E-01,6.56E-07,6.56E+02,6.56E-04,6.00E+01,1.00E+00,1.67E-05,1.67E-11,1.67E-02,1.67E-08,2.19E+02,6.08E-02,6.00E+04,1.00E+03,1.67E-02,1.67E-08,1.67E+01,1.67E-05,3.73E+01,6.21E-01,1.04E-05,1.04E-11,1.04E-02,1.04E-08,1.67E+01,1.67E-05,1.67E+04,1.67E-02,1.67E+07,1.67E+01,1.67E+10,1.67E+04,1.67E+04,1.67E-02,1.67E+07,1.67E+01,1.09E+03,1.82E-02,1.82E-08,1.82E+01,1.82E-05
km/ms,3.60E+11,6.00E+09,1.00E+05,1.00E+08,1.18E+10,1.97E+08,3.28E+03,3.28E-03,3.28E+06,3.28E+00,3.94E+04,3.94E-02,3.94E+07,3.94E+01,3.60E+06,6.00E+04,1.00E+00,1.00E-06,1.00E+03,1.00E-03,1.31E+07,3.65E+03,3.60E+09,6.00E+07,1.00E+03,1.00E-03,1.00E+06,1.00E+00,2.24E+06,3.73E+04,6.21E-01,6.21E-07,6.21E+02,6.21E-04,1.00E+06,1.00E+00,1.00E+09,1.00E+03,1.00E+12,1.00E+06,1.00E+15,1.00E+09,1.00E+09,1.00E+03,1.00E+12,1.00E+06,6.56E+07,1.09E+03,1.09E-03,1.09E+06,1.09E+00
km/ns,3.60E+17,6.00E+15,1.00E+11,1.00E+14,1.18E+16,1.97E+14,3.28E+09,3.28E+03,3.28E+12,3.28E+06,3.94E+10,3.94E+04,3.94E+13,3.94E+07,3.60E+12,6.00E+10,1.00E+06,1.00E+00,1.00E+09,1.00E+03,1.31E+13,3.65E+09,3.60E+15,6.00E+13,1.00E+09,1.00E+03,1.00E+12,1.00E+06,2.24E+12,3.73E+10,6.21E+05,6.21E-01,6.21E+08,6.21E+02,1.00E+12,1.00E+06,1.00E+15,1.00E+09,1.00E+18,1.00E+12,1.00E+21,1.00E+15,1.00E+15,1.00E+09,1.00E+18,1.00E+12,6.56E+13,1.09E+09,1.09E+03,1.09E+12,1.09E+06
km/s,3.60E+08,6.00E+06,1.00E+02,1.00E+05,1.18E+07,1.97E+05,3.28E+00,3.28E-06,3.28E+03,3.28E-03,3.94E+01,3.94E-05,3.94E+04,3.94E-02,3.60E+03,6.00E+01,1.00E-03,1.00E-09,1.00E+00,1.00E-06,1.31E+04,3.65E+00,3.60E+06,6.00E+04,1.00E+00,1.00E-06,1.00E+03,1.00E-03,2.24E+03,3.73E+01,6.21E-04,6.21E-10,6.21E-01,6.21E-07,1.00E+03,1.00E-03,1.00E+06,1.00E+00,1.00E+09,1.00E+03,1.00E+12,1.00E+06,1.00E+06,1.00E+00,1.00E+09,1.00E+03,6.56E+04,1.09E+00,1.09E-06,1.09E+03,1.09E-03
km/us,3.60E+14,6.00E+12,1.00E+08,1.00E+11,1.18E+13,1.97E+11,3.28E+06,3.28E+00,3.28E+09,3.28E+03,3.94E+07,3.94E+01,3.94E+10,3.94E+04,3.60E+09,6.00E+07,1.00E+03,1.00E-03,1.00E+06,1.00E+00,1.31E+10,3.65E+06,3.60E+12,6.00E+10,1.00E+06,1.00E+00,1.00E+09,1.00E+03,2.24E+09,3.73E+07,6.21E+02,6.21E-04,6.21E+05,6.21E-01,1.00E+09,1.00E+03,1.00E+12,1.00E+06,1.00E+15,1.00E+09,1.00E+18,1.00E+12,1.00E+12,1.00E+06,1.00E+15,1.00E+09,6.56E+10,1.09E+06,1.09E+00,1.09E+09,1.09E+03
lea/h,2.74E+04,4.57E+02,7.62E-03,7.62E+00,9.00E+02,1.50E+01,2.50E-04,2.50E-10,2.50E-01,2.50E-07,3.00E-03,3.00E-09,3.00E+00,3.00E-06,2.74E-01,4.57E-03,7.62E-08,7.62E-14,7.62E-05,7.62E-11,1.00E+00,2.78E-04,2.74E+02,4.57E+00,7.62E-05,7.62E-11,7.62E-02,7.62E-08,1.70E-01,2.84E-03,4.73E-08,4.73E-14,4.73E-05,4.73E-11,7.62E-02,7.62E-08,7.62E+01,7.62E-05,7.62E+04,7.62E-02,7.62E+07,7.62E+01,7.62E+01,7.62E-05,7.62E+04,7.62E-02,5.00E+00,8.33E-05,8.33E-11,8.33E-02,8.33E-08
lea/s,9.88E+07,1.65E+06,2.74E+01,2.74E+04,3.24E+06,5.40E+04,9.00E-01,9.00E-07,9.00E+02,9.00E-04,1.08E+01,1.08E-05,1.08E+04,1.08E-02,9.88E+02,1.65E+01,2.74E-04,2.74E-10,2.74E-01,2.74E-07,3.60E+03,1.00E+00,9.88E+05,1.65E+04,2.74E-01,2.74E-07,2.74E+02,2.74E-04,6.14E+02,1.02E+01,1.70E-04,1.70E-10,1.70E-01,1.70E-07,2.74E+02,2.74E-04,2.74E+05,2.74E-01,2.74E+08,2.74E+02,2.74E+11,2.74E+05,2.74E+05,2.74E-01,2.74E+08,2.74E+02,1.80E+04,3.00E-01,3.00E-07,3.00E+02,3.00E-04
m/h,1.00E+02,1.67E+00,2.78E-05,2.78E-02,3.28E+00,5.47E-02,9.11E-07,9.11E-13,9.11E-04,9.11E-10,1.09E-05,1.09E-11,1.09E-02,1.09E-08,1.00E-03,1.67E-05,2.78E-10,2.78E-16,2.78E-07,2.78E-13,3.65E-03,1.01E-06,1.00E+00,1.67E-02,2.78E-07,2.78E-13,2.78E-04,2.78E-10,6.21E-04,1.04E-05,1.73E-10,1.73E-16,1.73E-07,1.73E-13,2.78E-04,2.78E-10,2.78E-01,2.78E-07,2.78E+02,2.78E-04,2.78E+05,2.78E-01,2.78E-01,2.78E-07,2.78E+02,2.78E-04,1.82E-02,3.04E-07,3.04E-13,3.04E-04,3.04E-10
m/min,6.00E+03,1.00E+02,1.67E-03,1.67E+00,1.97E+02,3.28E+00,5.47E-05,5.47E-11,5.47E-02,5.47E-08,6.56E-04,6.56E-10,6.56E-01,6.56E-07,6.00E-02,1.00E-03,1.67E-08,1.67E-14,1.67E-05,1.67E-11,2.19E-01,6.08E-05,6.00E+01,1.00E+00,1.67E-05,1.67E-11,1.67E-02,1.67E-08,3.73E-02,6.21E-04,1.04E-08,1.04E-14,1.04E-05,1.04E-11,1.67E-02,1.67E-08,1.67E+01,1.67E-05,1.67E+04,1.67E-02,1.67E+07,1.67E+01,1.67E+01,1.67E-05,1.67E+04,1.67E-02,1.09E+00,1.82E-05,1.82E-11,1.82E-02,1.82E-08
m/ms,3.60E+08,6.00E+06,1.00E+02,1.00E+05,1.18E+07,1.97E+05,3.28E+00,3.28E-06,3.28E+03,3.28E-03,3.94E+01,3.94E-05,3.94E+04,3.94E-02,3.60E+03,6.00E+01,1.00E-03,1.00E-09,1.00E+00,1.00E-06,1.31E+04,3.65E+00,3.60E+06,6.00E+04,1.00E+00,1.00E-06,1.00E+03,1.00E-03,2.24E+03,3.73E+01,6.21E-04,6.21E-10,6.21E-01,6.21E-07,1.00E+03,1.00E-03,1.00E+06,1.00E+00,1.00E+09,1.00E+03,1.00E+12,1.00E+06,1.00E+06,1.00E+00,1.00E+09,1.00E+03,6.56E+04,1.09E+00,1.09E-06,1.09E+03,1.09E-03
